Data-Locale,Material ID,Product hierarchy,EAN,Unit,Name,Description
pt,100101000002,10010100,4001234500002,PCE,Bomba de fluxo axial Eco Flow AX 400,"<p>Our AX 400 axial flow pump is designed for very high flow rates in water and wastewater applications where large volumes are required at moderate heads. The robust construction offers high operational reliability, long service life and particularly economical installation and maintenance.</p><h3>Easy installation</h3><p>The AX 400 axial flow pump is installed by lowering it into vertical pipe shafts. The specially designed sealing ring closes flush with the flange of the shaft pipe and ensures reliable sealing towards the pump sump. In many applications no additional mechanical fixing is required, but it can be provided as an option.</p><h3>Applications</h3><ul><li>Flood and stormwater pumping stations</li><li>Service and cooling water pumping</li><li>Wastewater and mixed water transport</li><li>Pumping of slightly contaminated and sandy media</li></ul>"
zh,100101000002,10010100,4001234500002,PCE,Eco Flow 轴流泵 AX 400,"<p>Our AX 400 axial flow pump is designed for very high flow rates in water and wastewater applications where large volumes are required at moderate heads. The robust construction offers high operational reliability, long service life and particularly economical installation and maintenance.</p><h3>Easy installation</h3><p>The AX 400 axial flow pump is installed by lowering it into vertical pipe shafts. The specially designed sealing ring closes flush with the flange of the shaft pipe and ensures reliable sealing towards the pump sump. In many applications no additional mechanical fixing is required, but it can be provided as an option.</p><h3>Applications</h3><ul><li>Flood and stormwater pumping stations</li><li>Service and cooling water pumping</li><li>Wastewater and mixed water transport</li><li>Pumping of slightly contaminated and sandy media</li></ul>"
de,100102000001,10010200,4001234500003,PCE,Eco Flow Radialpumpe CR 25-160,"<p>Die Radialpumpe CR 25-160 ist eine kompakte, hocheffiziente Kreiselpumpe für Heizungs-, Klima- und industrielle Umwälzanwendungen. Ihr hydraulisch optimiertes Laufrad sorgt für einen zuverlässigen Betrieb bei konstanten Betriebsbedingungen.</p><h3>Einfache Integration</h3><p>Dank genormter Flanschanschlüsse und einer platzsparenden Bauform lässt sich die CR 25-160 unkompliziert in bestehende Rohrleitungssysteme integrieren. Die geringe Geräuschentwicklung und der ruhige Lauf ermöglichen den Einsatz in Technikzentralen und nahe an Arbeitsbereichen.</p><h3>Anwendungsgebiete</h3><ul><li>Heizungs- und Kühlwasserkreisläufe</li><li>Klima- und Lüftungsanlagen</li><li>Industrielle Umwälz- und Prozesswassersysteme</li><li>Druckerhöhungsanlagen für Gebäudeinstallationen</li></ul>"
en,100102000001,10010200,4001234500003,PCE,Eco Flow radial flow pump CR 25-160,"<p>The CR 25-160 radial flow pump is a compact, highly efficient centrifugal pump for heating, air-conditioning and industrial circulation applications. Its hydraulically optimised impeller ensures reliable operation under constant operating conditions.</p><h3>Simple integration</h3><p>Thanks to standardised flanged connections and a space-saving design, the CR 25-160 can be easily integrated into existing piping systems. Low noise emissions and smooth running allow installation in technical centres and close to work areas.</p><h3>Applications</h3><ul><li>Heating and cooling water circuits</li><li>Air-conditioning and ventilation systems</li><li>Industrial circulation and process water systems</li><li>Booster systems in building services</li></ul>"
es,100102000001,10010200,4001234500003,PCE,Bomba de flujo radial Eco Flow CR 25-160,"<p>The CR 25-160 radial flow pump is a compact, highly efficient centrifugal pump for heating, air-conditioning and industrial circulation applications. Its hydraulically optimised impeller ensures reliable operation under constant operating conditions.</p><h3>Simple integration</h3><p>Thanks to standardised flanged connections and a space-saving design, the CR 25-160 can be easily integrated into existing piping systems. Low noise emissions and smooth running allow installation in technical centres and close to work areas.</p><h3>Applications</h3><ul><li>Heating and cooling water circuits</li><li>Air-conditioning and ventilation systems</li><li>Industrial circulation and process water systems</li><li>Booster systems in building services</li></ul>"
ja,100102000001,10010200,4001234500003,PCE,Eco Flow ラジアルポンプ CR 25-160,"<p>The CR 25-160 radial flow pump is a compact, highly efficient centrifugal pump for heating, air-conditioning and industrial circulation applications. Its hydraulically optimised impeller ensures reliable operation under constant operating conditions.</p><h3>Simple integration</h3><p>Thanks to standardised flanged connections and a space-saving design, the CR 25-160 can be easily integrated into existing piping systems. Low noise emissions and smooth running allow installation in technical centres and close to work areas.</p><h3>Applications</h3><ul><li>Heating and cooling water circuits</li><li>Air-conditioning and ventilation systems</li><li>Industrial circulation and process water systems</li><li>Booster systems in building services</li></ul>"
pt,100102000001,10010200,4001234500003,PCE,Bomba de fluxo radial Eco Flow CR 25-160,"<p>The CR 25-160 radial flow pump is a compact, highly efficient centrifugal pump for heating, air-conditioning and industrial circulation applications. Its hydraulically optimised impeller ensures reliable operation under constant operating conditions.</p><h3>Simple integration</h3><p>Thanks to standardised flanged connections and a space-saving design, the CR 25-160 can be easily integrated into existing piping systems. Low noise emissions and smooth running allow installation in technical centres and close to work areas.</p><h3>Applications</h3><ul><li>Heating and cooling water circuits</li><li>Air-conditioning and ventilation systems</li><li>Industrial circulation and process water systems</li><li>Booster systems in building services</li></ul>"
zh,100102000001,10010200,4001234500003,PCE,Eco Flow 径流泵 CR 25-160,"<p>The CR 25-160 radial flow pump is a compact, highly efficient centrifugal pump for heating, air-conditioning and industrial circulation applications. Its hydraulically optimised impeller ensures reliable operation under constant operating conditions.</p><h3>Simple integration</h3><p>Thanks to standardised flanged connections and a space-saving design, the CR 25-160 can be easily integrated into existing piping systems. Low noise emissions and smooth running allow installation in technical centres and close to work areas.</p><h3>Applications</h3><ul><li>Heating and cooling water circuits</li><li>Air-conditioning and ventilation systems</li><li>Industrial circulation and process water systems</li><li>Booster systems in building services</li></ul>"
de,100102000002,10010200,4001234500004,PCE,Eco Flow Radialpumpe CR 32-200,<p>Die Radialpumpe CR 32-200 ist für höhere Förderhöhen und Volumenströme in industriellen Prozessen ausgelegt. Die robuste Ausführung und der hohe hydraulische Wirkungsgrad senken Energie- und Wartungskosten über den gesamten Lebenszyklus.</p><h3>Flexible Einbindung</h3><p>Mit genormten Anschlussmaßen und einer stabilen Grundplattenmontage lässt sich die CR 32-200 einfach in Neu- und Bestandsanlagen integrieren. Optional verfügbare Dichtungssysteme und Werkstoffkombinationen erlauben die Anpassung an unterschiedliche Medien und Betriebstemperaturen.</p><h3>Anwendungsgebiete</h3><ul><li>Prozesswasser- und Brauchwasserversorgung</li><li>Kühl- und Kaltwassersysteme in der Industrie</li><li>Kesselspeise- und Kondensatrückführsysteme</li><li>Druckerhöhung in Verteilnetzen</li></ul>
en,100102000002,10010200,4001234500004,PCE,Eco Flow radial flow pump CR 32-200,"<p>The CR 32-200 radial flow pump is designed for higher heads and flow rates in industrial processes. Its robust design and high hydraulic efficiency reduce energy and maintenance costs over the entire life cycle.</p><h3>Flexible integration</h3><p>With standardised connection dimensions and a rigid baseplate mounting, the CR 32-200 can be easily integrated into new and existing installations. Optional sealing systems and material combinations allow adaptation to different media and operating temperatures.</p><h3>Applications</h3><ul><li>Process and service water supply</li><li>Industrial cooling and chilled water systems</li><li>Boiler feed and condensate return systems</li><li>Pressure boosting in distribution networks</li></ul>"
es,100102000002,10010200,4001234500004,PCE,Bomba de flujo radial Eco Flow CR 32-200,"<p>The CR 32-200 radial flow pump is designed for higher heads and flow rates in industrial processes. Its robust design and high hydraulic efficiency reduce energy and maintenance costs over the entire life cycle.</p><h3>Flexible integration</h3><p>With standardised connection dimensions and a rigid baseplate mounting, the CR 32-200 can be easily integrated into new and existing installations. Optional sealing systems and material combinations allow adaptation to different media and operating temperatures.</p><h3>Applications</h3><ul><li>Process and service water supply</li><li>Industrial cooling and chilled water systems</li><li>Boiler feed and condensate return systems</li><li>Pressure boosting in distribution networks</li></ul>"
ja,100102000002,10010200,4001234500004,PCE,Eco Flow ラジアルポンプ CR 32-200,"<p>The CR 32-200 radial flow pump is designed for higher heads and flow rates in industrial processes. Its robust design and high hydraulic efficiency reduce energy and maintenance costs over the entire life cycle.</p><h3>Flexible integration</h3><p>With standardised connection dimensions and a rigid baseplate mounting, the CR 32-200 can be easily integrated into new and existing installations. Optional sealing systems and material combinations allow adaptation to different media and operating temperatures.</p><h3>Applications</h3><ul><li>Process and service water supply</li><li>Industrial cooling and chilled water systems</li><li>Boiler feed and condensate return systems</li><li>Pressure boosting in distribution networks</li></ul>"
pt,100102000002,10010200,4001234500004,PCE,Bomba de fluxo radial Eco Flow CR 32-200,"<p>The CR 32-200 radial flow pump is designed for higher heads and flow rates in industrial processes. Its robust design and high hydraulic efficiency reduce energy and maintenance costs over the entire life cycle.</p><h3>Flexible integration</h3><p>With standardised connection dimensions and a rigid baseplate mounting, the CR 32-200 can be easily integrated into new and existing installations. Optional sealing systems and material combinations allow adaptation to different media and operating temperatures.</p><h3>Applications</h3><ul><li>Process and service water supply</li><li>Industrial cooling and chilled water systems</li><li>Boiler feed and condensate return systems</li><li>Pressure boosting in distribution networks</li></ul>"
zh,100102000002,10010200,4001234500004,PCE,Eco Flow 径流泵 CR 32-200,"<p>The CR 32-200 radial flow pump is designed for higher heads and flow rates in industrial processes. Its robust design and high hydraulic efficiency reduce energy and maintenance costs over the entire life cycle.</p><h3>Flexible integration</h3><p>With standardised connection dimensions and a rigid baseplate mounting, the CR 32-200 can be easily integrated into new and existing installations. Optional sealing systems and material combinations allow adaptation to different media and operating temperatures.</p><h3>Applications</h3><ul><li>Process and service water supply</li><li>Industrial cooling and chilled water systems</li><li>Boiler feed and condensate return systems</li><li>Pressure boosting in distribution networks</li></ul>"
de,100103000001,10010300,4001234500005,PCE,Eco Flow Seitenkanalpumpe SC 40-4,<p>Die Seitenkanalpumpe SC 40-4 ist eine selbstansaugende Pumpe für gasbeladene Medien und intermittierende Betriebsweisen. Ihr mehrstufiges Seitenkanalprinzip kombiniert die Vorteile von Verdränger- und Kreiselpumpen und ermöglicht stabile Förderung auch bei Dampf- und Gasanteilen im Medium.</p><h3>Selbstansaugung und Betriebssicherheit</h3><p>Die SC 40-4 baut zuverlässig Ansaughöhen auf und eignet sich besonders für Anwendungen mit häufigem An- und Abfahren. Durch die selbstenlüftende Hydraulik bleibt die Förderleistung auch bei wechselnden Betriebsbedingungen stabil.</p><h3>Anwendungsgebiete</h3><ul><li>Tankentleerung und -befüllung</li><li>Kesselspeise- und Kondensatrückführung</li><li>Förderung gasbeladener und siedender Medien</li><li>Druckerhöhung in Prozess- und Versorgungssystemen</li></ul>
en,100103000001,10010300,4001234500005,PCE,Eco Flow side channel pump SC 40-4,<p>The SC 40-4 side channel pump is a self-priming pump for gas-laden liquids and intermittent operation. Its multi-stage side channel principle combines the advantages of positive displacement and centrifugal pumps and enables stable pumping even with gas and vapour content in the medium.</p><h3>Self-priming and reliable operation</h3><p>The SC 40-4 reliably builds up suction lift and is particularly suitable for applications with frequent start/stop cycles. The self-venting hydraulics ensure stable pump performance even under changing operating conditions.</p><h3>Applications</h3><ul><li>Tank emptying and filling</li><li>Boiler feed and condensate return</li><li>Pumping of gas-laden and boiling liquids</li><li>Pressure boosting in process and utility systems</li></ul>
es,100103000001,10010300,4001234500005,PCE,Bomba de canal lateral Eco Flow SC 40-4,<p>The SC 40-4 side channel pump is a self-priming pump for gas-laden liquids and intermittent operation. Its multi-stage side channel principle combines the advantages of positive displacement and centrifugal pumps and enables stable pumping even with gas and vapour content in the medium.</p><h3>Self-priming and reliable operation</h3><p>The SC 40-4 reliably builds up suction lift and is particularly suitable for applications with frequent start/stop cycles. The self-venting hydraulics ensure stable pump performance even under changing operating conditions.</p><h3>Applications</h3><ul><li>Tank emptying and filling</li><li>Boiler feed and condensate return</li><li>Pumping of gas-laden and boiling liquids</li><li>Pressure boosting in process and utility systems</li></ul>
ja,100103000001,10010300,4001234500005,PCE,Eco Flow サイドチャネルポンプ SC 40-4,<p>The SC 40-4 side channel pump is a self-priming pump for gas-laden liquids and intermittent operation. Its multi-stage side channel principle combines the advantages of positive displacement and centrifugal pumps and enables stable pumping even with gas and vapour content in the medium.</p><h3>Self-priming and reliable operation</h3><p>The SC 40-4 reliably builds up suction lift and is particularly suitable for applications with frequent start/stop cycles. The self-venting hydraulics ensure stable pump performance even under changing operating conditions.</p><h3>Applications</h3><ul><li>Tank emptying and filling</li><li>Boiler feed and condensate return</li><li>Pumping of gas-laden and boiling liquids</li><li>Pressure boosting in process and utility systems</li></ul>
pt,100103000001,10010300,4001234500005,PCE,Bomba de canal lateral Eco Flow SC 40-4,<p>The SC 40-4 side channel pump is a self-priming pump for gas-laden liquids and intermittent operation. Its multi-stage side channel principle combines the advantages of positive displacement and centrifugal pumps and enables stable pumping even with gas and vapour content in the medium.</p><h3>Self-priming and reliable operation</h3><p>The SC 40-4 reliably builds up suction lift and is particularly suitable for applications with frequent start/stop cycles. The self-venting hydraulics ensure stable pump performance even under changing operating conditions.</p><h3>Applications</h3><ul><li>Tank emptying and filling</li><li>Boiler feed and condensate return</li><li>Pumping of gas-laden and boiling liquids</li><li>Pressure boosting in process and utility systems</li></ul>
zh,100103000001,10010300,4001234500005,PCE,Eco Flow 侧通道泵 SC 40-4,<p>The SC 40-4 side channel pump is a self-priming pump for gas-laden liquids and intermittent operation. Its multi-stage side channel principle combines the advantages of positive displacement and centrifugal pumps and enables stable pumping even with gas and vapour content in the medium.</p><h3>Self-priming and reliable operation</h3><p>The SC 40-4 reliably builds up suction lift and is particularly suitable for applications with frequent start/stop cycles. The self-venting hydraulics ensure stable pump performance even under changing operating conditions.</p><h3>Applications</h3><ul><li>Tank emptying and filling</li><li>Boiler feed and condensate return</li><li>Pumping of gas-laden and boiling liquids</li><li>Pressure boosting in process and utility systems</li></ul>
de,100103000002,10010300,4001234500006,PCE,Eco Flow Seitenkanalpumpe SC 50-6,"<p>Die Seitenkanalpumpe SC 50-6 ist eine mehrstufige Pumpe für hohe Förderhöhen bei mittleren Volumenströmen. Sie ist für anspruchsvolle Prozessanwendungen ausgelegt, in denen Zuverlässigkeit und eine sichere Förderung gasbeladener Medien im Vordergrund stehen.</p><h3>Mehrstufige Seitenkanalhydraulik</h3><p>Durch ihre sechs Seitenkanalstufen erreicht die SC 50-6 hohe Drücke bei kompakter Bauweise. Die robuste Konstruktion und hochwertig ausgeführte Dichtungen sorgen für lange Standzeiten auch unter wechselnden Betriebsbedingungen.</p><h3>Anwendungsgebiete</h3><ul><li>Prozess- und Betriebswasserversorgung</li><li>Druckerhöhung in mehrstöckigen Anlagen</li><li>Kesselspeise- und Kondensatsysteme</li><li>Förderung leicht gas- oder dampfhaltiger Medien</li></ul>"
en,100103000002,10010300,4001234500006,PCE,Eco Flow side channel pump SC 50-6,"<p>The SC 50-6 side channel pump is a multi-stage pump for high heads at medium flow rates. It is designed for demanding process applications where reliability and safe pumping of gas-laden media are essential.</p><h3>Multi-stage side channel hydraulics</h3><p>With its six side channel stages, the SC 50-6 achieves high pressures with a compact footprint. The robust construction and high-quality sealing systems ensure long service life even under changing operating conditions.</p><h3>Applications</h3><ul><li>Process and utility water supply</li><li>Pressure boosting in multi-storey plants</li><li>Boiler feed and condensate systems</li><li>Pumping of slightly gas- or vapour-laden media</li></ul>"
es,100103000002,10010300,4001234500006,PCE,Bomba de canal lateral Eco Flow SC 50-6,"<p>The SC 50-6 side channel pump is a multi-stage pump for high heads at medium flow rates. It is designed for demanding process applications where reliability and safe pumping of gas-laden media are essential.</p><h3>Multi-stage side channel hydraulics</h3><p>With its six side channel stages, the SC 50-6 achieves high pressures with a compact footprint. The robust construction and high-quality sealing systems ensure long service life even under changing operating conditions.</p><h3>Applications</h3><ul><li>Process and utility water supply</li><li>Pressure boosting in multi-storey plants</li><li>Boiler feed and condensate systems</li><li>Pumping of slightly gas- or vapour-laden media</li></ul>"
ja,100103000002,10010300,4001234500006,PCE,Eco Flow サイドチャネルポンプ SC 50-6,"<p>The SC 50-6 side channel pump is a multi-stage pump for high heads at medium flow rates. It is designed for demanding process applications where reliability and safe pumping of gas-laden media are essential.</p><h3>Multi-stage side channel hydraulics</h3><p>With its six side channel stages, the SC 50-6 achieves high pressures with a compact footprint. The robust construction and high-quality sealing systems ensure long service life even under changing operating conditions.</p><h3>Applications</h3><ul><li>Process and utility water supply</li><li>Pressure boosting in multi-storey plants</li><li>Boiler feed and condensate systems</li><li>Pumping of slightly gas- or vapour-laden media</li></ul>"
pt,100103000002,10010300,4001234500006,PCE,Bomba de canal lateral Eco Flow SC 50-6,"<p>The SC 50-6 side channel pump is a multi-stage pump for high heads at medium flow rates. It is designed for demanding process applications where reliability and safe pumping of gas-laden media are essential.</p><h3>Multi-stage side channel hydraulics</h3><p>With its six side channel stages, the SC 50-6 achieves high pressures with a compact footprint. The robust construction and high-quality sealing systems ensure long service life even under changing operating conditions.</p><h3>Applications</h3><ul><li>Process and utility water supply</li><li>Pressure boosting in multi-storey plants</li><li>Boiler feed and condensate systems</li><li>Pumping of slightly gas- or vapour-laden media</li></ul>"
zh,100103000002,10010300,4001234500006,PCE,Eco Flow 侧通道泵 SC 50-6,"<p>The SC 50-6 side channel pump is a multi-stage pump for high heads at medium flow rates. It is designed for demanding process applications where reliability and safe pumping of gas-laden media are essential.</p><h3>Multi-stage side channel hydraulics</h3><p>With its six side channel stages, the SC 50-6 achieves high pressures with a compact footprint. The robust construction and high-quality sealing systems ensure long service life even under changing operating conditions.</p><h3>Applications</h3><ul><li>Process and utility water supply</li><li>Pressure boosting in multi-storey plants</li><li>Boiler feed and condensate systems</li><li>Pumping of slightly gas- or vapour-laden media</li></ul>"
de,100201000001,10020100,4001234500007,PCE,Eco Flow Membrandosierpumpe MD 5-10,<p>Die Membrandosierpumpe MD 5-10 ist für präzise Chemikaliendosierung in der Wasser- und Abwasseraufbereitung konzipiert. Die hermetisch getrennte Dosierhydraulik schützt Bediener und Anlage zuverlässig vor dem Fördermedium.</p><h3>Exakte Dosierung und einfache Kalibrierung</h3><p>Die Fördermenge der MD 5-10 kann über Hubfrequenz und Hublänge fein eingestellt werden. Eine gut zugängliche Skala sowie optionale elektrische oder busfähige Antriebe ermöglichen die einfache Integration in bestehende Leitsysteme.</p><h3>Anwendungsgebiete</h3><ul><li>Dosierung von Fäll- und Flockungsmitteln</li><li>pH-Korrektur in Wasseraufbereitungsanlagen</li><li>Dosierung von Desinfektionsmitteln</li><li>Chemikaliendosierung in industriellen Prozessen</li></ul>
en,100201000001,10020100,4001234500007,PCE,Eco Flow diaphragm dosing pump MD 5-10,<p>The MD 5-10 diaphragm dosing pump is designed for precise chemical dosing in water and wastewater treatment. The hermetically separated dosing hydraulics reliably protect operators and equipment from the medium.</p><h3>Accurate dosing and easy calibration</h3><p>The flow rate of the MD 5-10 can be finely adjusted via stroke frequency and stroke length. A clearly readable scale and optional electric or bus-capable drives enable straightforward integration into existing control systems.</p><h3>Applications</h3><ul><li>Dosing of coagulants and flocculants</li><li>pH correction in water treatment plants</li><li>Dosing of disinfectants</li><li>Chemical dosing in industrial processes</li></ul>
es,100201000001,10020100,4001234500007,PCE,Bomba dosificadora de diafragma Eco Flow MD 5-10,<p>The MD 5-10 diaphragm dosing pump is designed for precise chemical dosing in water and wastewater treatment. The hermetically separated dosing hydraulics reliably protect operators and equipment from the medium.</p><h3>Accurate dosing and easy calibration</h3><p>The flow rate of the MD 5-10 can be finely adjusted via stroke frequency and stroke length. A clearly readable scale and optional electric or bus-capable drives enable straightforward integration into existing control systems.</p><h3>Applications</h3><ul><li>Dosing of coagulants and flocculants</li><li>pH correction in water treatment plants</li><li>Dosing of disinfectants</li><li>Chemical dosing in industrial processes</li></ul>
ja,100201000001,10020100,4001234500007,PCE,Eco Flow ダイヤフラム定量ポンプ MD 5-10,<p>The MD 5-10 diaphragm dosing pump is designed for precise chemical dosing in water and wastewater treatment. The hermetically separated dosing hydraulics reliably protect operators and equipment from the medium.</p><h3>Accurate dosing and easy calibration</h3><p>The flow rate of the MD 5-10 can be finely adjusted via stroke frequency and stroke length. A clearly readable scale and optional electric or bus-capable drives enable straightforward integration into existing control systems.</p><h3>Applications</h3><ul><li>Dosing of coagulants and flocculants</li><li>pH correction in water treatment plants</li><li>Dosing of disinfectants</li><li>Chemical dosing in industrial processes</li></ul>
pt,100201000001,10020100,4001234500007,PCE,Bomba dosadora de diafragma Eco Flow MD 5-10,<p>The MD 5-10 diaphragm dosing pump is designed for precise chemical dosing in water and wastewater treatment. The hermetically separated dosing hydraulics reliably protect operators and equipment from the medium.</p><h3>Accurate dosing and easy calibration</h3><p>The flow rate of the MD 5-10 can be finely adjusted via stroke frequency and stroke length. A clearly readable scale and optional electric or bus-capable drives enable straightforward integration into existing control systems.</p><h3>Applications</h3><ul><li>Dosing of coagulants and flocculants</li><li>pH correction in water treatment plants</li><li>Dosing of disinfectants</li><li>Chemical dosing in industrial processes</li></ul>
